FishID,Lake,Mass_g,Ectoparasites_YN,SL_mm,BodyDepth,BuccalCavityLength,Sex_MFU,ProcessedBy,GapeWidth,EpWidth,ProcessedBy,RakerNum,RakerLength1,RakerLength2,RakerLength3,RakerLength4,IRSpace1,IRSpace2,IRSpace3,,Notes
S180994,Finger,0.85,Y,46.12,9.62,10.3,M,Louis,,,,,,,,,,,,,Black spots end of the tail
S180993,Finger,1.71,Y,51.35,13.09,11.57,F,Louis,3.08,6.41,Grant,19,,,,,,,,,Black spots on left pectoral
S180832,Finger,0.44,N,36.01,7.79,8.71,U,Louis,1.97,4.12,Grant,21,,,,,,,,,
S180833,Finger,1.24,N,51.46,11.01,12.05,M,Louis,2.75,6.02,Grant,20,,,,,,,,,
S180834,Finger,1.19,N,49.98,10.76,10.4,F,Louis,2.57,5.68,Grant,20,,,,,,,,,
S180835,Finger,1.22,N,49.44,11.56,11.14,F,Louis,3.03,5.83,Grant,21,,,,,,,,,
S180371,Engineer,2.27,N,55.26,12.56,12.98,F,Grant,,,,,,,,,,,,,
S180372,Engineer,1.36,N,48.78,11.44,10.67,F,Grant,,,,,,,,,,,,,
S180373,Engineer,1.88,N,55.05,12.07,13.08,F,Grant,,,,,,,,,,,,,
S180374,Engineer,1.89,N,58.37,11.92,12.61,F,Grant,,,,,,,,,,,,,
S180380,Engineer,1.66,N,52.85,12.36,12.57,F,Grant,2.87,5.92,Grant,23,,,,,,,,,
S180379,Engineer,1.82,N,50.19,13.09,11.79,F,Grant,2.68,5.78,Grant,19,,,,,,,,,
S180375,Engineer,3.1,N,64.57,14.47,13.21,F,Grant,3.38,7.18,Grant,19,,,,,,,,,
S180378,Engineer,1.09,N,46.51,10.59,9.57,F,Grant,,,,,,,,,,,,,
S180377,Engineer,1.31,N,49.55,10.49,10,F,Grant,2.15,5.54,Grant,21,,,,,,,,,
S180376,Engineer,2.11,N,46.78,12.59,12.12,F,Grant,2.88,6.95,Grant,21,,,,,,,,,
S180696,Corcoran,0.88,N,43.01,9.83,10.2,F,Louis,2.98,5.65,Grant,19,,,,,,,,,
S180695,Corcoran,0.47,N,35.51,7.46,7.7,F,Louis,2,4.07,Grant,20,,,,,,,,,
S180694,Corcoran,0.4,Y,33.98,7.84,7.86,F,Louis,1.85,4.32,Grant,19,,,,,,,,,Little black spots
S180693,Corcoran,1.14,Y,46.84,10.59,13.5,M,Louis,3.47,5.56,Grant,21,,,,,,,,,Little black spots
S180692,Corcoran,0.64,N,42.69,8.68,10.52,M,Louis,2.45,4.92,Grant,19,,,,,,,,,
S180691,Corcoran,0.83,N,46.14,9.52,10.47,F,Louis,,,,,,,,,,,,,
S180690,Corcoran,1.1,Y,49.12,10.73,13.15,M,Louis,2.97,5.93,Grant,21,,,,,,,,,Little black spots
S180689,Corcoran,0.99,N,47.44,10.27,10.99,F,Louis,2.85,5.64,Grant,21,,,,,,,,,
S180531,Tern,1.58,Y,52.32,11.13,13.11,M,Louis,3.05,6.19,Grant,19,,,,,,,,,Little black spots
S180532,Tern,0.25,N,28.25,6.71,6.1,U,Louis,,,,,,,,,,,,,
S180533,Tern,0.45,N,35.49,8.55,7.36,M,Louis,1.92,4.33,Grant,18,,,,,,,,,
S180534,Tern,0.3,N,31.47,6.87,7.48,M,Louis,1.69,4.09,Grant,20,,,,,,,,,
S180535,Tern,0.38,N,34.08,7.29,6.62,F,Louis,1.79,4.09,Grant,16,,,,,,,,,
S180536,Tern,2.11,N,57.73,12.64,13.62,F,Louis,3.56,6.48,Grant,19,,,,,,,,,
S180537,Tern,2.5,N,59.04,13.93,11.16,F,Louis,3.35,7.01,Grant,18,,,,,,,,,
S180538,Tern,1.21,N,46.69,11.14,8.52,F,Louis,,,,,,,,,,,,,
S180539,Tern,1.44,N,48.81,11.5,8.67,F,Louis,2.81,5.54,Grant,18,,,,,,,,,
S180540,Tern,0.49,N,35.7,8.06,7.26,M,Louis,,,,,,,,,,,,,
S180110,Arc,0.88,N ,47.04,10.63,9.74,F,Louis,,,,,,,,,,,,,
S180109,Arc,1.02,N ,48,11.13,8.91,F,Louis,,,,,,,,,,,,,
S180108,Arc,0.65,N ,43.99,9.39,8.73,F,Louis,,,,,,,,,,,,,
S180107,Arc,0.74,N ,41.22,9.65,8.47,U,Louis,,,,,,,,,,,,,Seems like little tumor on the left side
S180106,Arc,0.8,N ,43.97,10.15,9.56,M,Louis,,,,,,,,,,,,,
S180105,Arc,1.26,N ,48.05,11.32,9.85,F,Louis,,,,,,,,,,,,,
S180104,Arc,3.08,N ,57.72,14.44,11.3,F,Louis,,,,,,,,,,,,,
S180103,Arc,3.74,N ,62.04,15.85,11.24,F,Louis,,,,,,,,,,,,,
S180102,Arc,2.96,N ,60.54,15.92,11.2,F,Louis,,,,,,,,,,,,,
S180101,Arc,1.74,N ,54.42,13.73,11.33,U,Louis,,,,,,,,,,,,,
S180734,Long,0.64,N,42.88,8.24,9.67,F,Grant,1.85,4.55,Grant,20,,,,,,,,,
S180735,Long,0.36,N,37.52,6.82,9.04,M,Grant,1.63,3.96,Grant,21,,,,,,,,,
S180736,Long,0.95,N,50.16,9.64,11.37,M,Grant,2.66,5.3,Grant,24,,,,,,,,,
S180737,Long,0.96,N,50.26,9.46,11.22,M,Grant,2.39,5.04,Grant,24,,,,,,,,,
S180726,Long,0.78,N,44.79,9.21,9.99,F,Grant,,,,,,,,,,,,,
S180727,Long,0.72,N,43.72,8.59,9.68,M,Grant,,,,,,,,,,,,,
S180728,Long,1.1,Y,52.6,10.19,11.94,F,Grant,,,,,,,,,,,,,mussels?
S180729,Long,0.98,N,50.25,9.4,11.32,M,Grant,,,,,,,,,,,,,
S180722,Long,0.43,Y,39.96,7.38,8.82,M,Grant,,,,,,,,,,,,,mussels?
S180723,Long,1.22,N,53.32,10.27,12.56,M,Grant,,,,,,,,,,,,,
S180724,Long,0.78,N,52.01,8.95,11.8,M,Grant,,,,,,,,,,,,,
S180725,Long,1.05,N,52.7,9.64,11.55,M,Grant,,,,,,,,,,,,,
S180091,G,0.79,N,44.71,8.33,9.01,F,Louis,,,,,,,,,,,,,
S180092,G,0.7,N,46.22,7.91,10.28,F,Louis,,,,,,,,,,,,,
S180093,G,1.2,N,50.57,10.14,12.45,M,Louis,,,,,,,,,,,,,
S180094,G,1.37,N,55.41,9.9,13.86,M,Louis,,,,,,,,,,,,,
S180095,G,0.78,N,46.13,9.07,10.31,F,Louis,,,,,,,,,,,,,
S180096,G,0.7,N,46.69,8.94,10.2,F,Louis,,,,,,,,,,,,,
S180097,G,1.34,N,53.26,9.43,12.58,M,Louis,,,,,,,,,,,,,
S180098,G,0.82,N,46.41,8.28,9.91,F,Louis,,,,,,,,,,,,,
S180099,G,1.34,N,51.69,8.89,11.93,U,Louis,,,,,,,,,,,,,
S180100,G,1.45,N,53.16,8.98,13.7,M,Louis,,,,,,,,,,,,,
S180279,Ruth,1.36,N,54.49,11.75,13.15,M,Louis,,,,,,,,,,,,,
S180280,Ruth,1.08,N,47.12,9.68,10.28,F,Louis,,,,,,,,,,,,,
S180281,Ruth,0.77,N,44.69,8.91,10.06,M,Louis,,,,,,,,,,,,,
S180282,Ruth,2.17,N,61.39,12.72,14.87,F,Louis,,,,,,,,,,,,,
S180283,Ruth,1.58,Y,52.14,10.91,11.04,F,Louis,,,,,,,,,,,,,White ectoparasite under skin
S180284,Ruth,1.11,N,51.16,9.78,10.86,F,Louis,,,,,,,,,,,,,
S180285,Ruth,1.2,N,51.61,10.01,10.63,F,Louis,,,,,,,,,,,,,
S180286,Ruth,0.94,N,46.26,9.82,11.14,F,Louis,,,,,,,,,,,,,
S180287,Ruth,0.94,N,44.61,8.69,9.74,F,Louis,,,,,,,,,,,,,
S180288,Ruth,2.73,N,62.05,13.79,14.21,M,Louis,,,,,,,,,,,,,
S180460,Watson,0.61,N,41.33,8.63,9.79,F,Louis,2.16,4.96,Grant,17,,,,,,,,,
S180459,Watson,0.76,N,43.07,9.39,9.32,F,Louis,,,,,,,,,,,,,
S180458,Watson,0.99,N,46.89,10.3,10.35,F,Louis,2.51,5.57,Grant,20,,,,,,,,,
S180457,Watson,0.35,N,36.83,7.52,8.15,F,Louis,1.76,4.2,Grant,19,,,,,,,,,
S180456,Watson,0.64,N,44.66,9.47,9.18,M,Louis,,,,,,,,,,,,,
S180455,Watson,0.78,Y,46.15,9.59,10.56,M,Louis,,,,,,,,,,,,,White spots on the left side
S180454,Watson,0.65,N,44.33,9.08,9.78,F,Louis,,,,,,,,,,,,,
S180453,Watson,0.77,N,43.5,9.98,10.59,F,Louis,,,,,,,,,,,,,
S180452,Watson,0.77,N,42.64,9.34,11.24,M,Louis,,,,,,,,,,,,,
S180451,Watson,0.85,N,46.19,9.92,10.63,F,Louis,2.8,5.47,Grant,20,,,,,,,,,
S180131,Arc,3.42,N,67.23,15.49,15.32,F,Bailey,,,,,,,,,,,,,
S180132,Arc,2.61,N,60.43,13.73,13.55,M,Bailey,,,,,,,,,,,,,
S180133,Arc,2.99,N,67.57,14.01,14.9,F,Bailey,,,,,,,,,,,,,
S180134,Arc,2.64,N,66.88,13.98,14.9,F,Bailey,,,,,,,,,,,,,
S180135,Arc,0.69,N,42.64,9.05,9.64,M,Bailey,,,,,,,,,,,,,
S180136,Arc,1.13,N,44.83,11.02,10.06,F,Bailey,,,,,,,,,,,,,
S180137,Arc,0.74,N,43.38,8.68,8.85,F,Bailey,,,,,,,,,,,,,
S180138,Arc,0.68,N,39.88,8.99,9.96,M,Bailey,,,,,,,,,,,,,
S180139,Arc,0.95,N,43.55,9.76,8.64,F,Bailey,,,,,,,,,,,,,
S180140,Arc,0.6,N,39.25,8.54,8.44,U,Bailey,,,,,,,,,,,,,
S180545,Spirit,0.64,N,42.13,8.4,10.74,M,Bailey,,,,,,,,,,,,,
S180546,Spirit,1.29,N,49.19,10.73,10.96,F,Bailey,,,,,,,,,,,,,
S180547,Spirit,0.47,N,38.56,7.06,9.4,U,Bailey,,,,,,,,,,,,,
S180548,Spirit,0.46,N,38.31,7.27,9.03,F,Bailey,,,,,,,,,,,,,
S180549,Spirit,0.89,N,45.76,9.29,9.44,F,Bailey,,,,,,,,,,,,,
S180550,Spirit,1.31,N,53.23,11.02,12.04,F,Bailey,,,,,,,,,,,,,
S180551,Spirit,0.71,N,41.21,8.47,10.97,M,Bailey,,,,,,,,,,,,,
S180552,Spirit,1.87,N,58.41,11.1,13.21,F,Bailey,,,,,,,,,,,,,
S180553,Spirit,1.28,N,50.41,9.81,12.64,M,Bailey,,,,,,,,,,,,,
S180554,Spirit,1.04,N,48.83,9.11,10.78,F,Bailey,,,,,,,,,,,,,
S180221,Echo,2.87,N,65.54,12.89,15.97,F,Bailey,,,,,,,,,,,,,
S180222,Echo,0.5,N,39.65,7.31,9.56,F,Bailey,,,,,,,,,,,,,
S180223,Echo,1.01,N,49.93,9.47,12.73,M,Bailey,,,,,,,,,,,,,
S180224,Echo,0.77,N,46.06,8.33,10.2,F,Bailey,,,,,,,,,,,,,
S180225,Echo,1.65,N,53.6,11.67,14.13,M,Bailey,,,,,,,,,,,,,
S180226,Echo,0.57,N,44.22,7.78,9.75,F,Bailey,,,,,,,,,,,,,
S180480,Engineer,1.19,N,49.04,10.22,11.66,M,,,,,,,,,,,,,,
S180479,Engineer,1.85,N,53.83,10.71,11.77,F,,,,,,,,,,,,,,
S180478,Engineer,1.05,N,50.43,10.18,10.13,F,,2.46,5.88,Grant,,,,,,,,,,
S180477,Engineer,1.32,N,49.02,10.02,11.07,F,,,,,,,,,,,,,,
S180476,Engineer,2.24,N,59.62,11.91,14.27,M,Louis,,,,,,,,,,,,,
S180475,Engineer,1.55,N,52.85,10.6,10.82,F,Louis,,,,,,,,,,,,,
S180474,Engineer,1.56,Y,51.99,11.24,11.71,F,Louis,,,,,,,,,,,,,
S180473,Engineer,1.8,N,55.65,11.44,10.56,F,Louis,,,,,,,,,,,,,
S180472,Engineer,1.12,N,47.09,9.5,10.32,F,Louis,,,,,,,,,,,,,Abundant yellow mucus in the abdomen
S180471,Engineer,1.39,N,49.25,10.44,12.23,M,Louis,,,,,,,,,,,,,
S180977,Long,0.68,N,43.87,8.8,9.31,M,Louis,,,,,,,,,,,,,
S180978,Long,0.62,N,43.66,8.42,9.42,M,Louis,,,,,,,,,,,,,
S180979,Long,0.63,N,43.55,7.61,10,M,Louis,,,,,,,,,,,,,
S180980,Long,0.43,N,38.92,7.39,8.95,F,Louis,,,,,,,,,,,,,
S180939,Long,0.77,N,47.08,8.74,10.17,M,Louis,,,,,,,,,,,,,
S180940,Long,0.59,N,41.62,8.15,9.17,M,Louis,,,,,,,,,,,,,
S180941,Long,0.71,N,44.01,8.25,10.09,M,Louis,,,,,,,,,,,,,
S180976,Long,0.68,N,47.68,8.63,11.36,M,Louis,,,,,,,,,,,,,
S180989,Long,1.22,Y,52.22,10.34,11.22,F,Louis,,,,,,,,,,,,,Black spots on the face and belly
S180990,Long,0.66,N,42.81,8.77,10.14,M,Louis,,,,,,,,,,,,,
S180991,Long,0.56,Y,42.49,8.04,9.33,U,Louis,,,,,,,,,,,,,Black spots on the belly
S180992,Long,0.71,N,43.03,8.6,9.61,M,Louis,,,,,,,,,,,,,
S180644,Wik,0.88,N,46.94,8.34,11.44,U,Louis,,,,,,,,,,,,,
S180643,Wik,0.78,N,44.45,7.7,10.94,F,Louis,,,,,,,,,,,,,
S180642,Wik,,N,61.08,12.74,15.19,F,Louis,,,,,,,,,,,,,
S180638,Wik,1.29,N,51.22,8.54,11.4,F,Louis,,,,,,,,,,,,,
S180637,Wik,0.81,N,46.79,7.51,11.44,U,Louis,,,,,,,,,,,,,
S180636,Wik,0.79,N,45.95,7.63,11.07,F,Louis,,,,,,,,,,,,,
S180635,Wik,0.71,N,43.36,8.82,10.24,M,Louis,,,,,,,,,,,,,
S180641,Wik,0.72,N,44.17,8.34,10.58,M,Louis,,,,,,,,,,,,,
S180640,Wik,1.1,N,52.51,8.58,11.44,F,Louis,,,,,,,,,,,,,
S180639,Wik,1.09,N,50.77,9.07,11.21,F,Louis,,,,,,,,,,,,,
S180220,Echo,0.67,N,47.52,9.39,11.17,F,Louis,2.27,5.28,Grant,21,,,,,,,,,Lot of Echo fish without pelvis spine
S180219,Echo,0.74,Y,44.94,8.33,10.7,F,Louis,,,,,,,,,,,,,Black spots  on the body and tumors inside the abdomen
S180218,Echo,0.59,N,44.79,9.1,9.35,F,Louis,2.04,5.13,Grant,20,,,,,,,,,
S180217,Echo,1.51,N,55.95,11.17,13.94,M,Louis,,,,,,,,,,,,,Tumors inside the abdomen
S180216,Echo,0.64,N,43.71,7.31,9.68,F,Louis,,,,,,,,,,,,,
S180215,Echo,0.81,N,45.66,8.85,9.87,F,Louis,,,,,,,,,,,,,
S180214,Echo,0.65,N,45.28,8.05,9.87,F,Louis,,,,,,,,,,,,,
S180213,Echo,0.53,N,41.51,7.5,9.47,F,Louis,,,,,,,,,,,,,Tumors inside the abdomen
S180212,Echo,0.58,N,42.53,7.59,10.49,F,Louis,,,,,,,,,,,,,Tumors inside the abdomen
S180211,Echo,0.8,Y,45.38,7.93,11.41,M,Louis,,,,,,,,,,,,,Black spots on the body and tumors inside the abdomen
S180227,Echo,0.71,N ,45.76,7.7,10.59,F,Louis,,,,,,,,,,,,,
S180228,Echo,0.75,N,45.07,8.09,10,F,Louis,,,,,,,,,,,,,
S180585,Spirit,0.46,N,36.82,7.15,8.38,M,Louis,,,,,,,,,,,,,
S180586,Spirit,0.49,N,38.45,7.2,8.78,F,Louis,,,,,,,,,,,,,
S180587,Spirit,0.35,N,35.34,5.95,7.98,F,Louis,,,,,,,,,,,,,
S180588,Spirit,2.18,N,58.48,11.08,12.89,F,Louis,,,,,,,,,,,,,
S180589,Spirit,0.95,Y,45.38,10.09,11.65,M,Louis,,,,,,,,,,,,,Black spot on left fin
S180590,Spirit,1.63,N,52.71,9.01,11.64,F,Louis,,,,,,,,,,,,,
S180591,Spirit,0.82,N,44.08,8.93,9.11,F,Louis,,,,,,,,,,,,,
S180592,Spirit,0.63,N,40.17,7.76,9.2,F,Louis,,,,,,,,,,,,,
S180593,Spirit,0.65,N,39.15,7.18,7.65,F,Louis,,,,,,,,,,,,,
S180594,Spirit,0.54,N,40.2,8.21,8.5,F,Louis,,,,,,,,,,,,,Black parasite on the operculum
S180926,Walby,0.43,Y,37.18,7.81,8.21,F,Louis,,,,,,,,,,,,,
S180928,Walby,0.67,N,41.01,8.83,10.18,M,Louis,,,,,,,,,,,,,
S180929,Walby,0.53,N,38.38,8.32,9.19,F,Louis,,,,,,,,,,,,,
S180930,Walby,0.65,N,40,9.04,9.53,M,Louis,,,,,,,,,,,,,
S180921,Walby,0.51,N,38.3,8.02,9.22,F,Louis,,,,,,,,,,,,,
S180922,Walby,1.11,N,47.68,10.98,10.73,F,Louis,,,,,,,,,,,,,
S180924,Walby,0.84,N,44.8,9.2,10.23,F,Louis,,,,,,,,,,,,,
S180925,Walby,0.62,N,40.29,9.29,8.81,U,Louis,,,,,,,,,,,,,
S180917,Walby,0.93,N,48.07,9.88,11.12,M,Louis,,,,,,,,,,,,,Little tumor inside the abdomen
S180918,Walby,0.7,N,42.12,8.56,9.27,F,Louis,,,,,,,,,,,,,
S180919,Walby,0.7,N,43.6,8.85,10.41,M,Louis,,,,,,,,,,,,,
S180920,Walby,1.04,Y,45.21,10.02,8.83,F,Louis,2.51,5.45,Grant,22,,,,,,,,,Black/brown spot on the left fin
S180709,Corcoran,0.49,N,35.35,7.94,7.78,F,Louis,,,,,,,,,,,,,
S180708,Corcoran,0.42,N,35.83,7.65,8.66,M,Louis,2.03,4.27,Grant,22,,,,,,,,,
S180707,Corcoran,0.56,Y,38.88,8.51,8.95,M,Louis,2.42,4.68,Grant,20,,,,,,,,,Black spot at the end of the tail
S180706,Corcoran,0.51,N,38.27,8.27,8.88,M,Louis,2.24,4.56,Grant,19,,,,,,,,,Little tumor inside
S180702,Corcoran,0.99,N,49.89,9.26,11.72,F,Louis,,,,,,,,,,,,,
S180703,Corcoran,0.77,N,44.56,9.49,10.23,M,Louis,,,,,,,,,,,,,
S180704,Corcoran,0.61,N,40.87,8.07,9.84,M,Louis,2.32,4.95,Grant,21,,,,,,,,,
S180705,Corcoran,0.72,N,45.54,8.75,9.99,F,Louis,,,,,,,,,,,,,
S180697,Corcoran,1.23,N,48.53,10.96,11.25,F,Louis,,,,,,,,,,,,,
S180698,Corcoran,1.62,Y,54.96,11.94,14.03,M,Louis,3.41,6.94,Grant,21,,,,,,,,,Little black spot on tail
S180699,Corcoran,1.69,Y,55.98,12.32,13.73,M,Louis,,,,,,,,,,,,,Brown spot on left fin
S180700,Corcoran,1.01,N,46.64,10.75,10.5,F,Louis,2.57,5.3,Grant,19,,,,,,,,,
S180701,Corcoran,0.56,N,36.52,8.73,8.63,M,Louis,,,,,,,,,,,,,
S180511,Jean,1.17,N,43.62,11.07,9.75,F,Louis,,,,,,,,,,,,,
S180512,Jean,1.08,N,44.35,10.9,11.02,M,Louis,,,,,,,,,,,,,
S180513,Jean,0.84,N,41.79,9.93,10.92,F,Louis,,,,,,,,,,,,,
S180514,Jean,0.97,N,44.9,10.99,10.85,F,Louis,,,,,,,,,,,,,
S180515,Jean,0.63,N,43.45,10.35,10.31,M,Louis,,,,,,,,,,,,,
S180516,Jean,0.92,N,45.84,11.19,10.95,F,Louis,,,,,,,,,,,,,
S180517,Jean,0.36,N,35.29,7.47,8.04,M,Louis,,,,,,,,,,,,,
S180518,Jean,0.7,N,42.64,9.88,9.91,M,Louis,,,,,,,,,,,,,
S180519,Jean,0.59,N,39.77,8.81,8.49,F,Louis,2.36,4.74,Grant,20,,,,,,,,,
S180520,Jean,1.62,N,51.37,12.52,12.85,F,Louis,,,,,,,,,,,,,
S180844,Finger,0.5,N,40.48,8.58,7.93,U,Louis,,,,,,,,,,,,,
S180845,Finger,0.69,N,42.17,9.36,9.13,M,Louis,,,,,,,,,,,,,
S180846,Finger,0.64,N,42.88,8.95,9.1,F,Louis,,,,,,,,,,,,,
S180847,Finger,0.42,N,36.68,8.28,8.37,M,Louis,1.99,4.2,Grant,21,,,,,,,,,
S180861,Finger,0.46,N,38.85,8.59,7.75,F,Louis,,,,,,,,,,,,,
S180862,Finger,0.36,N,35.52,7.91,7.8,U,Louis,,,,,,,,,,,,,
S180863,Finger,0.29,N,34.68,7.21,7.59,U,Louis,,,,,,,,,,,,,
S180864,Finger,0.43,N,37.12,7.62,7.14,F,Louis,,,,,,,,,,,,,
S180857,Finger,1.27,Y,48.14,11.49,10.48,F,Louis,3.07,5.89,Grant,18,,,,,,,,,Brown spot under left fin
S180858,Finger,0.38,N,36.64,7.98,7.78,U,Louis,,,,,,,,,,,,,
S180859,Finger,0.4,N,37.51,7.66,7.65,F,Louis,,,,,,,,,,,,,
S180860,Finger,0.47,N,37.57,8.51,8.35,F,Louis,,,,,,,,,,,,,
S180160,Arc,0.87,N,45.38,10.54,8.5,F,Louis,,,,,,,,,,,,,
S180159,Arc,2.66,N,63.56,15.68,12.53,F,Louis,,,,,,,,,,,,,
S180158,Arc,2.9,N,63.94,16.56,14.23,M,Louis,,,,,,,,,,,,,
S180157,Arc,1.07,N,47.34,10.75,10.12,F,Louis,,,,,,,,,,,,,
S180156,Arc,2.19,N,56.2,14.32,11.07,F,Louis,,,,,,,,,,,,,
